;Tube;Name;Sample_ID;Sequence_run;Bioreactor_run;Bioreactor;Inoculation;Sampling.date;timepoint;Day_Steady_state;Hour_Treated;Treatment;Gas;Extract;gDNA..ng.µl.;analysis
1s1;1s1;1s1;E01_R1_D0;1;1;1;supernatant;;steady_state;0;NA;NA;NA;;NA;include
1s11;1s11;1s11;E01_R1_D15;1;1;1;supernatant;;steady_state;15;NA;NA;N2;;NA;include
1s12;1s12;1s12;E01_R1_D16;1;1;1;supernatant;;steady_state;16;NA;NA;N2;;NA;include
1s13;1s13;1s13;E01_R1_D19;1;1;1;supernatant;;treated;19;-24;Metronidazole;N2;;NA;include
1s2;1s2;1s2;E01_R1_D1;1;1;1;supernatant;;steady_state;1;NA;NA;CO2;;NA;include
1s3;1s3;1s3;E01_R1_D2;1;1;1;supernatant;;steady_state;2;NA;NA;CO2;;NA;include
1s4;1s4;1s4;E01_R1_D5;1;1;1;supernatant;;steady_state;5;NA;NA;CO2;;NA;include
1s5;1s5;1s5;E01_R1_D6;1;1;1;supernatant;;steady_state;6;NA;NA;CO2;;NA;include
1s7;1s7;1s7;E01_R1_D8;1;1;1;supernatant;;steady_state;8;NA;NA;CO2;;NA;include
1s8;1s8;1s8;E01_R1_D9;1;1;1;supernatant;;steady_state;9;NA;NA;CO2;;NA;include
1s9;1s9;1s9;E01_R1_D12;1;1;1;supernatant;;steady_state;12;NA;NA;N2;;NA;include
2s1;2s1;2s1;E01_R2_D0;1;1;2;supernatant;;steady_state;0;NA;NA;NA;;NA;include
2s11;2s11;2s11;E01_R2_D15;1;1;2;supernatant;;steady_state;15;NA;NA;N2;;NA;include
2s12;2s12;2s12;E01_R2_D16;1;1;2;supernatant;;steady_state;16;NA;NA;N2;;NA;include
2s13;2s13;2s13;E01_R2_D19;1;1;2;supernatant;;treated;19;-24;Metronidazole;N2;;NA;include
2s2;2s2;2s2;E01_R2_D1;1;1;2;supernatant;;steady_state;1;NA;NA;CO2;;NA;include
2s3;2s3;2s3;E01_R2_D2;1;1;2;supernatant;;steady_state;2;NA;NA;CO2;;NA;include
2s4;2s4;2s4;E01_R2_D5;1;1;2;supernatant;;steady_state;5;NA;NA;CO2;;NA;include
2s5;2s5;2s5;E01_R2_D6;1;1;2;supernatant;;steady_state;6;NA;NA;CO2;;NA;include
2s7;2s7;2s7;E01_R2_D8;1;1;2;supernatant;;steady_state;8;NA;NA;CO2;;NA;include
2s8;2s8;2s8;E01_R2_D9;1;1;2;supernatant;;steady_state;9;NA;NA;CO2;;NA;include
2s9;2s9;2s9;E01_R2_D12;1;1;2;supernatant;;steady_state;12;NA;NA;N2;;NA;include
3s1;3s1;3s1;E01_R3_D0;1;1;3;fecal slurry;;steady_state;0;NA;NA;NA;;NA;include
3s11;3s11;3s11;E01_R3_D15;1;1;3;fecal slurry;;steady_state;15;NA;NA;N2;;NA;include
3s12;3s12;3s12;E01_R3_D16;1;1;3;fecal slurry;;steady_state;16;NA;NA;N2;;NA;include
3s13;3s13;3s13;E01_R3_D19;1;1;3;fecal slurry;;treated;19;-24;Metronidazole;N2;;NA;include
3s2;3s2;3s2;E01_R3_D1;1;1;3;fecal slurry;;steady_state;1;NA;NA;CO2;;NA;include
3s3;3s3;3s3;E01_R3_D2;1;1;3;fecal slurry;;steady_state;2;NA;NA;CO2;;NA;include
3s4;3s4;3s4;E01_R3_D5;1;1;3;fecal slurry;;steady_state;5;NA;NA;CO2;;NA;include
3s5;3s5;3s5;E01_R3_D6;1;1;3;fecal slurry;;steady_state;6;NA;NA;CO2;;NA;include
