",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU1,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU2,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU3,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Escherichia/Shigella"",NA"
"OTU4,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""intestinalis"""
"OTU5,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Listeriaceae"",""Listeria"",NA"
"OTU6,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Muribaculaceae"",NA,NA"
"OTU7,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""intestinalis"""
"OTU8,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotella"",NA"
"OTU9,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",""tayi"""
"OTU10,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",""hathewayi"""
"OTU11,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU12,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",""wadsworthensis"""
"OTU13,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Moryella"",""indoligenes"""
"OTU14,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-013"",NA"
"OTU15,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Enterococcaceae"",""Enterococcus"",NA"
"OTU16,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU17,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Moryella"",NA"
"OTU18,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",""wadsworthensis"""
"OTU19,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU20,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",""hathewayi"""
"OTU21,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Subdoligranulum"",NA"
"OTU22,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""uniformis"""
"OTU23,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotella"",""buccalis"""
"OTU24,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Veillonellaceae"",""Dialister"",""invisus"""
"OTU25,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""distasonis"""
"OTU26,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""uniformis"""
"OTU27,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU28,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",""longum"""
"OTU29,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU30,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_NK4A214_group"",NA"
"OTU31,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Escherichia/Shigella"",NA"
"OTU32,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",""Prevotella"",NA"
"OTU33,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",""lacrimalis"""
"OTU34,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU35,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Desulfovibrionales"",""Desulfovibrionaceae"",""Desulfovibrio"",NA"
"OTU36,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU37,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",NA"
"OTU38,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU39,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Escherichia/Shigella"",NA"
"OTU40,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU41,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU42,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Pseudomonadales"",""Pseudomonadaceae"",""Pseudomonas"",NA"
"OTU43,""Archaea"",""Euryarchaeota"",""Methanobacteria"",""Methanobacteriales"",""Methanobacteriaceae"",""Methanobrevibacter"",NA"
"OTU44,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU45,""Archaea"",""Euryarchaeota"",""Methanobacteria"",""Methanobacteriales"",""Methanobacteriaceae"",""Methanobrevibacter"",NA"
"OTU46,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU47,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""uniformis"""
"OTU48,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU49,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU50,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU51,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU52,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU53,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU54,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"OTU55,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""distasonis"""
"OTU56,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillibacter"",NA"
"OTU57,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU58,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"OTU59,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""vulgatus"""
"OTU60,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""uniformis"""
"OTU61,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",""hathewayi"""
"OTU62,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU63,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",""vulgatus"""
"OTU64,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptostreptococcaceae"",""Peptostreptococcus"",""stomatis"""
"OTU65,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",""wadsworthensis"""
"OTU66,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU67,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Dorea"",""longicatena"""
"OTU68,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Coriobacteriaceae"",""Collinsella"",""aerofaciens"""
"OTU69,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""distasonis"""
"OTU70,""Bacteria"",""Firmicutes"",""Negativicutes"",""Selenomonadales"",""Acidaminococcaceae"",""Succiniclasticum"",NA"
"OTU71,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",NA"
"OTU72,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU73,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Caproiciproducens"",NA"
"OTU74,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Agathobacter"",NA"
"OTU75,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU76,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",""wadsworthensis"""
"OTU77,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Staphylococcaceae"",""Staphylococcus"",NA"
"OTU78,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU79,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",""tayi"""
"OTU80,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",""wadsworthensis"""
"OTU81,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""distasonis"""
"OTU82,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU83,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU84,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU85,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Intestinimonas"",""butyriciproducens"""
"OTU86,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU87,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Marvinbryantia"",NA"
"OTU88,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",""merdae"""
"OTU89,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Blautia"",NA"
"OTU90,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lachnoclostridium"",NA"
"OTU91,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",""Clostridium_sensu_stricto_1"",""tertium"""
"OTU92,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-002"",NA"
"OTU93,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",""lacrimalis"""
